GPStime,peakFreq,snr,Standard example?(y/n)
1253041762.055,30.734,9.337,y
1242659225.461,38.93,9.28,y
1239632749.359,35.205,9.274,y
1238269182.578,35.205,9.221,y
1253043267.578,30.288,9.201,y
1251055841.195,27.308,9.19,y
1250540394.805,30.734,9.174,y
1239204091.727,27.9,9.129,y
1239130326.172,39.935,9.118,y
1251788165.422,32.268,9.104,y
1243618221.109,34.378,9.097,y
1238355545.734,33.054,9.069,y
1243111853.773,34.59,9.062,y
1243600712.445,30.734,9.047,y
1243628122.953,34.378,9.034,y
1239207874.367,31.386,9.017,y
1243607190.461,47.183,9.017,y
1243685954.047,39.02,8.999,y
1238245147.523,24.802,8.989,y
1240032148.836,31.386,8.974,y
1243447733.547,30.288,8.926,y
1243252910.445,27.308,8.882,y
1239440034.180,39.717,8.874,y
1241799150.258,27.308,8.818,y
1253032749.398,30.734,8.803,y
1253032490.453,34.378,8.735,y
1243611199.461,30.734,8.711,y
1243435350.852,43.814,8.647,y
1249921560.766,30.288,8.644,y
1243690839.961,43.814,8.586,y
1238345571.820,31.386,8.571,y
1243629342.516,32.268,8.548,y
1243345644.992,34.59,8.547,y
1243714383.672,36.625,8.523,y
1253285532.953,32.268,8.522,y
1243348174.930,34.59,8.519,y
1240919957.734,36.625,8.519,y
1243623121.313,30.487,8.517,y
1242662205.539,30.734,8.44,y
1238355380.016,35.205,8.386,y
1243259655.555,30.734,8.353,y
1239993502.070,27.9,8.337,y
1246036374.383,30.734,8.33,y
1243686857.734,36.625,8.302,y
1243266195.766,36.625,8.28,y
1243349262.859,32.268,8.244,y
1243435814.328,36.625,8.218,y
1238267737.047,37.495,8.141,y
1253030922.672,30.288,8.113,y
1243255733.430,30.734,8.072,y
1238342027.039,39.717,7.993,y
1244318405.711,38.93,7.975,y
1243356771.672,32.268,7.964,y
1238270003.352,27.9,7.96,y
1239199698.555,35.306,7.92,y
1253624028.242,38.93,7.907,y
1238339859.820,39.717,7.87,y
1243625612.203,36.625,7.826,y
1238268924.445,27.9,7.818,y
1239630682.773,27.9,7.815,y
1243613332.617,30.734,7.775,y
1239207334.828,33.054,7.749,y
1243631955.797,30.288,7.707,y
1243444423.977,30.734,7.699,y
1243609104.922,36.625,7.687,y
1243263764.070,43.814,7.586,y
1239196765.008,35.306,7.584,y
1240770088.078,36.625,17.68,y
1243266386.484,39.02,16.627,y
1253892394.563,37.349,14.815,y
1243433680.180,34.59,14.789,y
1239993755.609,42.534,14.687,y
1240771064.664,47.183,14.626,y
1243687944.234,34.378,14.067,y
1238166252.422,42.534,13.919,y
1243474835.867,44.288,13.174,y
1243630050.227,44.288,13.091,y
1238548248.211,31.386,13.03,y
1243716095.289,44.288,12.959,y
1238335284.797,42.534,12.697,y
1238944899.016,35.205,12.609,y
1251788170.016,39.02,12.479,y
1243626508.891,41.57,12.229,y
1243338700.672,39.02,11.86,y
1243285485.828,41.57,11.771,y
1243437577.258,27.308,11.503,y
1243253399.047,32.268,11.47,y
1243628820.578,41.57,11.43,y
1243263553.586,38.93,11.416,y
1243256351.859,39.02,11.387,y
1249912811.922,41.57,11.309,y
1238353177.609,42.534,11.257,y
1243433670.797,34.378,11.253,y
1253031967.922,39.02,11.252,y
1243436736.266,36.625,11.236,y
1238294638.891,37.495,11.136,y
1253288542.859,39.02,11.076,y
1248988451.289,38.93,11.065,n
1239982903.422,39.935,11.034,y
1243611621.391,39.02,10.883,y
1243625803.602,44.288,10.875,y
1240921765.672,34.378,10.752,y
1243254627.539,27.308,10.737,y
1243607983.609,41.57,10.667,y
1243616172.984,34.378,10.644,y
1239984231.141,37.495,10.599,y
1239207336.727,31.386,10.526,y
1240757381.922,34.378,10.496,y
1239132540.047,42.534,10.495,y
1243620006.203,34.378,10.472,y
1243597859.266,41.57,10.395,y
1253213160.328,32.268,10.382,y
1243608445.906,39.134,10.295,y
1250519444.797,34.378,10.288,y
1243256354.023,34.59,10.279,y
1253827289.297,36.625,10.216,y
1239638055.445,31.386,10.206,y
1238267564.805,39.717,10.116,y
1243618966.766,32.268,10.056,y
1239210713.828,33.054,10.03,y
1238426438.492,27.9,9.989,y
1243388944.664,30.734,9.985,y
1240748861.047,34.378,9.954,y
1238266094.172,35.205,9.942,y
1238345024.859,37.495,9.933,y
1238334549.422,33.054,9.881,y
1253686203.953,39.02,9.878,y
1243596710.805,27.308,9.842,y
1239131832.273,35.306,9.826,y
1249763855.273,30.734,9.764,y
1243691547.109,39.02,9.738,y
1253300236.109,32.268,9.727,y
1243691415.047,36.625,9.701,y
1243683906.422,30.288,9.578,y
1253041539.141,34.378,9.531,y
1243255106.445,30.734,9.529,y
1253039604.617,30.734,9.502,y
1243631894.203,28.43,9.5,y
1239746176.359,25.687,9.49,y
1245763324.766,39.02,9.449,y
1243251278.078,36.625,9.386,y
1238268116.547,42.534,9.375,y
1238242114.289,27.9,9.356,y
1253366139.523,34.59,9.345,y
1240748897.883,30.734,9.345,y
1243600878.422,26.685,9.286,y
1250194490.953,36.625,9.239,y
1243349582.359,39.02,9.233,y
1243600828.203,36.625,9.232,y
1238276200.508,27.9,9.222,y
1243611858.859,36.625,9.209,y
1253303128.336,27.308,9.198,y
1238239909.484,35.205,9.191,y
1243620527.953,34.378,9.191,y
1245547358.703,32.268,9.172,y
1239197418.773,31.386,9.163,y
1242662768.461,30.734,9.13,y
1238352851.109,35.205,9.122,y
1240770101.586,30.734,9.119,y
1243335481.672,36.625,9.111,y
1243689697.727,30.734,9.041,y
1253052241.328,32.268,9.038,y
1243254897.891,34.378,9.022,y
1238268929.273,27.9,9.011,y
1238269940.195,35.306,8.993,y
1243623500.547,39.02,8.993,y
1240920628.617,30.734,8.956,y
1240586439.797,29.138,8.951,y
1243253081.383,30.734,8.95,y
1253295906.766,28.43,8.866,y
1238354697.352,35.306,8.853,y
1244224130.859,32.268,8.846,y
1243437007.992,30.734,8.811,y
1238419120.953,31.034,8.732,y
1253018405.727,27.308,8.727,y
1243689891.398,30.734,8.721,y
1243339231.227,30.734,8.705,y
1243436942.609,34.378,8.702,y
1240842824.398,27.308,8.699,y
